name,beer,bar
Annie Moreno,Samuel Adams Chocolate Bock,Boston Beer Company
Jonathan Brock,Boltwood Bock,John Harvard's Brew House - Harvard Square
Edward Hunter,Wilmington Roggen Beer,John Harvard's Brew House - Framingham
Randy Porter,Graduation Ale,Cape Ann Brewing
Shawn Leonard,Samuel Adams Triplebock 1994,John Harvard's Brew House - Framingham
Minerva Johnson,Tall Tale Pale Ale,Commonwealth Brewing #1
Kate Larson,Regatta Golden,Harpoon Brewery - Boston
Mason Fields,Samuel Adams Blackberry Witbier,John Harvard's Brew House - Framingham
Ian Sullivan,Tall Tale Pale Ale,Paper City Brewing Company
Arthur Reyes,Samuel Adams Brown Ale,Paper City Brewing Company
Iva Byrd,Samuel Adams Scotch Ale,Paper City Brewing Company
Kathryn Cunningham,Harpoon Brown Session Ale,Wachusetts Brewing Company
Mitchell Garcia,Samuel Adams Holiday Porter,Element Brewing Company
Henrietta Hardy,Hard Core Crisp Apple Cider,John Harvard's Brew House - Framingham
Barry Bowers,Buckeye Oatmeal Stout,Wachusetts Brewing Company
Maria Wagner,Samuel Adams White Ale,Mercury Brewing Company
Helena Dixon,Cambridge Amber,John Harvard's Brew House - Framingham
Arthur Jackson,Hard Core Crisp Apple Cider,New Century Brewing Company
Elizabeth Cook,Ipswich IPA,John Harvard's Brew House - Framingham
Edward Gill,Samuel Adams Scotch Ale,Mercury Brewing Company
Harold Oliver,Harpoon Brown Session Ale,Commonwealth Brewing #1
Maggie Sandoval,Bankers Gold,Boston Beer Company
Jean Moreno,Harpoon Ale,Brewery at Martha's Vineyard
May Wolfe,Heather Ale,Brewery at Martha's Vineyard
Virginia Simpson,Ipswich Oatmeal Stout,Brewery at Martha's Vineyard
Kevin Wheeler,Wilmington Roggen Beer,Brewery at Martha's Vineyard
Jayden Watkins,Special Old Ale,Paper City Brewing Company
Harvey Maldonado,North Pleasant Pale Ale,Buzzards Bay Brewing Inc.
Nina Tyler,Workingman's Wheat,Mercury Brewing Company
Erik Waters,North Pleasant Pale Ale,John Harvard's Brew House - Harvard Square
Isabella Shaw,Samuel Adams Honey Porter,Watch City Brewing
Myra Simon,Ipswich Dark Ale,Boston Beer Works
Addie Hall,Patriots Pilsner,Element Brewing Company
Harold Perez,Samuel Adams Blackberry Witbier,Watch City Brewing
Johanna Maxwell,Ipswich Nut Brown,New Century Brewing Company
Thomas McKenzie,Ipswich Summer,Cape Ann Brewing
Landon Nichols,Graduation Ale,Element Brewing Company
Erik Berry,Buckeye Oatmeal Stout,Boston Beer Works
Jon Farmer,Ipswich Summer,Boston Beer Company
Antonio Sandoval,Samuel Adams White Ale,Wachusetts Brewing Company
Jay Munoz,Olde #8 Anniversary Ale,Mercury Brewing Company
Arthur Wood,Hard Core Crisp Apple Cider,Harpoon Brewery - Boston
Anne Bush,Olde Buzzard Lager,Buzzards Bay Brewing Inc.
Raymond Phillips,Tall Tale Pale Ale,John Harvard's Brew House - Harvard Square
Rodney Murray,Ipswich Porter,Brewery at Martha's Vineyard
Jerry Doyle,Samuel Adams Irish Red,Brewery at Martha's Vineyard
Chad Erickson,1084 Barleywine,John Harvard's Brew House - Framingham
Carl Nunez,Harpoon Winter Warmer,Boston Beer Company
Ella Reid,Samuel Adams Black Lager,New Century Brewing Company
Isabel Johnston,Cascade IPA,Wachusetts Brewing Company
Ryan Howell,Hercules Stong Ale,Boston Beer Company
Norman Lambert,Samuel Adams Imperial White,John Harvard's Brew House - Framingham
Travis Nguyen,Samuel Adams Utopias MMIV,John Harvard's Brew House - Framingham
Ella Miles,Half in the Bagpipe,Wachusetts Brewing Company
Sara Erickson,Ipswich Oatmeal Stout,New Century Brewing Company
Roger Martin,Harpoon Leviathan,John Harvard's Brew House - Framingham
Isabelle Rodriquez,Harpoon Winter Warmer,John Harvard's Brew House - Framingham
Howard Graves,Samuel Adams Double Bock,Buzzards Bay Brewing Inc.
Eugenia Payne,Samuel Adams Spring Ale,Paper City Brewing Company
Elijah Hopkins,Regatta Golden,Brewery at Martha's Vineyard
Gene Carter,Samuel Adams Irish Red,Brewery at Martha's Vineyard
Elnora Casey,Samuel Adams Blackberry Witbier,Mercury Brewing Company
Wesley Walker,Samuel Adams Black Lager,Brewery at Martha's Vineyard
Jeremiah Gibson,Hercules Stong Ale,Mercury Brewing Company
Mary Barrett,Samuel Adams Holiday Porter,New Century Brewing Company
Antonio Martinez,Ipswich Porter,New Century Brewing Company
Ronnie Chavez,Harpoon Winter Warmer,Brewery at Martha's Vineyard
Rachel Coleman,Fenway American Pale Ale,Paper City Brewing Company
Emily Smith,Kenmore K̦lsch,Wachusetts Brewing Company
John Patterson,Heather Ale,New Century Brewing Company
Blanche Oliver,Wheaten Ale,Mercury Brewing Company
Brandon Powell,Samuel Adams Old Fezziwig Ale,Mercury Brewing Company
Ruth Morrison,Two Sisters Imperial Stout,Cape Ann Brewing
Henry Ruiz,Samuel Adams Noble Pils,Cape Ann Brewing
Josephine Ryan,Harpoon Winter Warmer,Commonwealth Brewing #1
Marvin Porter,Olde Buzzard Lager,Commonwealth Brewing #1
Francis Thompson,Wachusetts IPA,Cape Ann Brewing
Bill Lucas,Extra Stout,Boston Beer Company
Manuel Ross,Kenmore K̦lsch,New Century Brewing Company
Edna McLaughlin,Holyoke Dam Ale,Boston Beer Works
Don Davis,Samuel Adams Golden Pilsner,Wachusetts Brewing Company
Billy Harris,Harpoon Brown Session Ale,Harpoon Brewery - Boston
Zachary Guzman,Raspberry Brown Ale,Element Brewing Company
Jon Warner,Workingman's Wheat,Cape Ann Brewing
Barbara Byrd,Hard Core Crisp Apple Cider,Commonwealth Brewing #1
Dorothy Meyer,Samuel Adams Spring Ale,Commonwealth Brewing #1
Jesse Boone,Harpoon Winter Warmer,Mercury Brewing Company
Georgie Diaz,Samuel Adams Cherry Wheat,Wachusetts Brewing Company
Carl Adkins,Samuel Adams Boston Lager,Boston Beer Works
Eliza Pearson,Patriots Pilsner,John Harvard's Brew House - Framingham
Isabelle Peters,Golden Ale,Boston Beer Company
Gene Hampton,Classic Stout,Brewery at Martha's Vineyard
Fred Howard,Graduation Ale,Watch City Brewing
Isabella Armstrong,Hard Core Crisp Apple Cider,New Century Brewing Company
Gilbert Garner,Amber Ale,John Harvard's Brew House - Framingham
Allie Arnold,Harpoon Celtic Ale,Boston Beer Company
Mina Quinn,Samuel Adams Irish Red,Boston Beer Works
Genevieve Townsend,Samuel Adams Cranberry Lambic,Cambridge Brewing
Marie Crawford,Workingman's Wheat,John Harvard's Brew House - Framingham
Jesus Ryan,Harpoon Brown Session Ale,Cape Ann Brewing
Lena Mathis,Buckeye Oatmeal Stout,Boston Beer Works
Eleanor Gomez,Samuel Adams Noble Pils,Watch City Brewing
Dustin Kennedy,Famous Porter,Boston Beer Company
Lee Bishop,Honey Pilsner,Mercury Brewing Company
Clarence Scott,Samuel Adams Coastal Wheat,Mercury Brewing Company
Lucas Sparks,Samuel Adams Imperial White,Boston Beer Company
Clarence Hoffman,Patriots Pilsner,Watch City Brewing
Allie Buchanan,North Pleasant Pale Ale,Mercury Brewing Company
Randy Carpenter,Boston Red,Element Brewing Company
Eliza Kelley,Framingham Maibock,John Harvard's Brew House - Harvard Square
Philip Cummings,Samuel Adams Cherry Wheat,John Harvard's Brew House - Harvard Square
Jean Holloway,Charles River Porter,Wachusetts Brewing Company
Alma Green,Samuel Adams Old Fezziwig Ale,John Harvard's Brew House - Harvard Square
Edith Quinn,Lewmeister Oktoberfest,Buzzards Bay Brewing Inc.
Virginia Howard,Samuel Adams Boston Lager,Buzzards Bay Brewing Inc.
Joel Chavez,Samuel Adams White Ale,John Harvard's Brew House - Framingham
Elva McCoy,Framingham Maibock,Buzzards Bay Brewing Inc.
Sophie Walton,Samuel Adams Utopias MMIV,Element Brewing Company
Herman Singleton,Honey Pilsner,Boston Beer Works
Abbie Figueroa,Ipswich Nut Brown,Cambridge Brewing
Arthur Jefferson,Graduation Ale,John Harvard's Brew House - Framingham
Verna Miller,Charles River Porter,Boston Beer Works
Eunice Simpson,Lewmeister Oktoberfest,John Harvard's Brew House - Framingham
Erik Stone,Edison Light Beer,Buzzards Bay Brewing Inc.
Dylan Powell,Samuel Adams Cranberry Lambic,John Harvard's Brew House - Harvard Square
Allie Weber,Ipswich Original Ale,Buzzards Bay Brewing Inc.
Alvin Barton,Tall Tale Pale Ale,Brewery at Martha's Vineyard
Elijah Atkins,Ipswich Original Ale,Boston Beer Company
Estelle Evans,North Pleasant Pale Ale,Boston Beer Company
Edwin Lee,Ipswich Oatmeal Stout,Buzzards Bay Brewing Inc.
Chris Christensen,North Pleasant Pale Ale,Brewery at Martha's Vineyard
Dean Tate,Sam Adams Light,John Harvard's Brew House - Harvard Square
Carl Woods,Half in the Bagpipe,Watch City Brewing
Clara Goodwin,Samuel Adams Hefeweizen,Element Brewing Company
Donald Martinez,Wheaten Ale,Paper City Brewing Company
Estella Brady,Olde #8 Anniversary Ale,Wachusetts Brewing Company
Cameron Sullivan,Samuel Adams Black Lager,Boston Beer Works
Mable Ward,Patriots Pilsner,Mercury Brewing Company
Luke Ellis,Samuel Adams Holiday Porter,Brewery at Martha's Vineyard
Dorothy Rhodes,Buckeye Oatmeal Stout,Watch City Brewing
Rosalie Morton,Puffers Smoked Porter,Element Brewing Company
Willie Marshall,Samuel Adams Holiday Porter,Boston Beer Company
Ricardo Love,North Pleasant Pale Ale,Harpoon Brewery - Boston
Mary Anderson,Special Old Ale,Cape Ann Brewing
Chase Berry,Samuel Adams Brown Ale,Element Brewing Company
Alfred Chambers,Wilmington Roggen Beer,Paper City Brewing Company
Fannie Yates,Tall Tale Pale Ale,Watch City Brewing
Jessie Hodges,Ipswich Porter,John Harvard's Brew House - Framingham
Lulu Love,Ipswich Original Ale,Brewery at Martha's Vineyard
Lillie Ford,Righteous Red,John Harvard's Brew House - Harvard Square
Marc Blair,Green Monsta Ale,Element Brewing Company
Connor Hines,Harpoon UFO Hefeweizen,Buzzards Bay Brewing Inc.
Adrian Armstrong,Regatta Golden,John Harvard's Brew House - Framingham
Carolyn Hunt,Samuel Adams Boston Lager,Mercury Brewing Company
Christina Payne,Righteous Red,Cape Ann Brewing
Clara Green,Righteous Red,John Harvard's Brew House - Framingham
Lou Fields,Samuel Adams Cherry Wheat,John Harvard's Brew House - Framingham
Ina Herrera,Longshot American Pale Ale,Cambridge Brewing
Shane Bates,Samuel Adams Cherry Wheat,John Harvard's Brew House - Harvard Square
Sophie Boone,Samuel Adams Chocolate Bock,Boston Beer Works
Lou Myers,Harpoon Celtic Ale,Mercury Brewing Company
Bettie Brooks,Boston Red,Buzzards Bay Brewing Inc.
Herbert Watts,Samuel Adams Old Fezziwig Ale,New Century Brewing Company
Alta Greene,1084 Barleywine,Harpoon Brewery - Boston
Frances Swanson,Charles River Porter,Element Brewing Company
Susie Potter,Samuel Adams Golden Pilsner,Commonwealth Brewing #1
Roxie Perry,Samuel Adams Holiday Porter,Cambridge Brewing
Marvin Gibbs,Tall Tale Pale Ale,Mercury Brewing Company
Olga Bennett,Regatta Golden,Buzzards Bay Brewing Inc.
Jason Wagner,Raspberry Brown Ale,Commonwealth Brewing #1
Raymond Bowers,Harpoon Celtic Ale,Boston Beer Works
Cynthia Cook,Boston Red,Cambridge Brewing
Maria Meyer,Wachusetts IPA,Boston Beer Works
Kate Turner,Famous Porter,John Harvard's Brew House - Harvard Square
Christopher Russell,Ipswich Summer,Cambridge Brewing
Anne Patterson,Lewmeister Oktoberfest,New Century Brewing Company
Blanche Lloyd,Samuel Adams Holiday Porter,Watch City Brewing
Augusta Williams,Dark Element,Harpoon Brewery - Boston
Luis Torres,Sam Adams Light,Commonwealth Brewing #1
Brett Barnes,Samuel Adams Brown Ale,Watch City Brewing
Ivan Willis,Samuel Adams OctoberFest,John Harvard's Brew House - Framingham
Irene Rodriquez,Lewmeister Oktoberfest,Element Brewing Company
Larry Pope,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Commonwealth Brewing #1
Austin Howard,Two Sisters Imperial Stout,Boston Beer Company
Corey Hicks,Fenway American Pale Ale,Cape Ann Brewing
Winifred Davis,Longshot American Pale Ale,Boston Beer Works
Derek Moss,Samuel Adams Summer Ale,Cape Ann Brewing
Vera Moore,Samuel Adams Brown Ale,Boston Beer Works
Amelia Hunt,Bankers Gold,Watch City Brewing
Clifford Hamilton,Massatucky Brown,John Harvard's Brew House - Framingham
Madge George,Ipswich Oatmeal Stout,John Harvard's Brew House - Harvard Square
Marguerite Webster,Harpoon Leviathan,Paper City Brewing Company
Genevieve Salazar,Samuel Adams White Ale,Brewery at Martha's Vineyard
Gene Shaw,Samuel Adams Triplebock 1994,Cambridge Brewing
Sadie Johnston,Righteous Red,Mercury Brewing Company
Augusta Wallace,Wheaten Ale,Cambridge Brewing
Jesse Berry,Harpoon Celtic Ale,Boston Beer Works
Maria Fox,Samuel Adams Double Bock,Mercury Brewing Company
Nina Daniel,Samuel Adams Boston Ale,Boston Beer Company
Kyle Wheeler,Wachusetts IPA,John Harvard's Brew House - Framingham
Jeff Henderson,Amber Ale,New Century Brewing Company
Jack Robertson,Righteous Red,Brewery at Martha's Vineyard
Mario Bailey,Samuel Adams OctoberFest,Element Brewing Company
Annie Bass,Olde #8 Anniversary Ale,Cambridge Brewing
Elizabeth Howell,Samuel Adams Boston Ale,Cambridge Brewing
Eugene Moss,Fenway American Pale Ale,Cambridge Brewing
Elijah Snyder,Wachusetts IPA,Paper City Brewing Company
Harry Gross,Wheaten Ale,Boston Beer Company
Gilbert Flores,Samuel Adams Boston Ale,John Harvard's Brew House - Harvard Square
Lela McLaughlin,Samuel Adams Black Lager,Boston Beer Works
Marion Haynes,Buckeye Oatmeal Stout,Watch City Brewing
Grace Burns,Longshot American Pale Ale,Element Brewing Company
Christopher Fletcher,Workingman's Wheat,New Century Brewing Company
Ophelia Pittman,Samuel Adams Blackberry Witbier,Commonwealth Brewing #1
Tom Watts,North Pleasant Pale Ale,Cape Ann Brewing
Lucas Simpson,Ipswich Harvest,Boston Beer Company
Fred Sims,Cascade IPA,Cape Ann Brewing
Birdie Bradley,Samuel Adams Scotch Ale,John Harvard's Brew House - Framingham
Jonathan Harmon,Ipswich Dark Ale,Paper City Brewing Company
Zachary Andrews,Holyoke Dam Ale,Cambridge Brewing
Lillian Boone,Cascade IPA,Commonwealth Brewing #1
Evelyn Lloyd,Samuel Adams Irish Red,Boston Beer Company
Allie Jimenez,Ipswich Winter,John Harvard's Brew House - Harvard Square
Francisco Christensen,Heather Ale,Commonwealth Brewing #1
Luke Fowler,Regatta Golden,Wachusetts Brewing Company
Irene Welch,Harpoon Leviathan,John Harvard's Brew House - Harvard Square
Sylvia Hanson,IPA,Harpoon Brewery - Boston
Sarah Kennedy,Samuel Adams Cream Stout,Brewery at Martha's Vineyard
Roy Hubbard,Samuel Adams Holiday Porter,Boston Beer Works
Louise McGee,Samuel Adams Hefeweizen,Element Brewing Company
Warren Ortiz,Harpoon UFO Hefeweizen,Buzzards Bay Brewing Inc.
Glen Roberts,Amber Ale,Mercury Brewing Company
Hilda Potter,Lewmeister Oktoberfest,Buzzards Bay Brewing Inc.
Anne Page,Samuel Adams Utopias MMIV,Watch City Brewing
Hester Ryan,Longshot American Pale Ale,Commonwealth Brewing #1
Mattie May,Classic Stout,Harpoon Brewery - Boston
Caleb Tate,Samuel Adams Coastal Wheat,Brewery at Martha's Vineyard
Nathaniel Ford,Samuel Adams Cranberry Lambic,Element Brewing Company
Rena Greer,1084 Barleywine,Harpoon Brewery - Boston
Mina Boyd,Harpoon Ale,Mercury Brewing Company
Luke Vargas,Samuel Adams Imperial White,John Harvard's Brew House - Harvard Square
Rosa Hayes,Dark Element,Watch City Brewing
Lydia Wolfe,Samuel Adams Hefeweizen,Element Brewing Company
Pearl Guerrero,Samuel Adams White Ale,Paper City Brewing Company
Adele Hamilton,Samuel Adams Boston Lager,Cape Ann Brewing
Shawn Steele,Hard Core Crisp Apple Cider,Paper City Brewing Company
Dominic Davis,Dark Element,Mercury Brewing Company
Cole Stephens,Samuel Adams Boston Ale,Boston Beer Company
Claudia Cohen,Heather Ale,Boston Beer Works
Eunice Lawrence,Samuel Adams Holiday Porter,Harpoon Brewery - Boston
Ryan Moore,UFO Raspberry Hefeweizen,John Harvard's Brew House - Framingham
Zachary Klein,Half in the Bagpipe,Cape Ann Brewing
Fannie Nunez,Extra Stout,Wachusetts Brewing Company
Wayne Moran,Harpoon Celtic Ale,Paper City Brewing Company
Eva Mack,Ipswich Oatmeal Stout,John Harvard's Brew House - Framingham
Melvin Shelton,North Pleasant Pale Ale,Brewery at Martha's Vineyard
Ella Walsh,Samuel Adams Cranberry Lambic,Cambridge Brewing
Lura Pittman,Special Old Ale,Element Brewing Company
Jerome Greene,Tall Tale Pale Ale,Brewery at Martha's Vineyard
Sam Yates,Green Monsta Ale,John Harvard's Brew House - Framingham
Seth Ryan,Hops Explosion IPA,Watch City Brewing
Olive Hunter,Longshot Hazelnut Brown,Brewery at Martha's Vineyard
Gordon Norman,IPA,New Century Brewing Company
Jean King,Holyoke Dam Ale,Element Brewing Company
Edgar Phillips,Heather Ale,Watch City Brewing
Mittie Mills,Classic Stout,New Century Brewing Company
Jane Tran,Half in the Bagpipe,Mercury Brewing Company
Bessie Hudson,Boston Red,John Harvard's Brew House - Harvard Square
Lee Lee,Samuel Adams Spring Ale,Harpoon Brewery - Boston
Stanley Santiago,Ipswich IPA,Watch City Brewing
John Christensen,Patriots Pilsner,Cambridge Brewing
Luella Shaw,Samuel Adams Imperial Stout,John Harvard's Brew House - Harvard Square
Olga Blake,Charles River Porter,Brewery at Martha's Vineyard
Steven Jefferson,Ipswich Porter,Paper City Brewing Company
Louis Lewis,Harpoon Leviathan,Wachusetts Brewing Company
Della Williamson,Tall Tale Pale Ale,Watch City Brewing
Amy Vasquez,Longshot Black Lager,Mercury Brewing Company
Randall Garcia,Harpoon Ale,Brewery at Martha's Vineyard
Josie Potter,Samuel Adams Noble Pils,Paper City Brewing Company
Helena Colon,Wilmington Roggen Beer,John Harvard's Brew House - Harvard Square
Sophie Hart,Harpoon Leviathan,Watch City Brewing
Mina Moody,IPA,Wachusetts Brewing Company
Celia Chapman,Cascade IPA,Brewery at Martha's Vineyard
Emilie Ferguson,Two Sisters Imperial Stout,Paper City Brewing Company
Hannah Hudson,IPA,Cape Ann Brewing
Grace Sims,Harpoon Munich Dark,Cape Ann Brewing
Joseph Peters,Boltwood Bock,Commonwealth Brewing #1
Jayden Pratt,Raspberry Brown Ale,Mercury Brewing Company
Evan Park,Samuel Adams Old Fezziwig Ale,Wachusetts Brewing Company
Ophelia Young,Samuel Adams Pale Ale,Commonwealth Brewing #1
Alma Hayes,Ipswich Summer,Buzzards Bay Brewing Inc.
Phoebe Dunn,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Brewery at Martha's Vineyard
Jeremy Drake,Samuel Adams Imperial White,Cambridge Brewing
Ella Jackson,Samuel Adams Utopias MMIV,Brewery at Martha's Vineyard
Randy Morrison,Special Old Ale,Cape Ann Brewing
Delia Frank,Framingham Maibock,New Century Brewing Company
Rhoda Mack,Buckeye Oatmeal Stout,Watch City Brewing
Mable Lindsey,Harpoon Ale,Watch City Brewing
Evelyn Rodriguez,Golden Ale,Watch City Brewing
Etta Jenkins,Longshot American Pale Ale,Buzzards Bay Brewing Inc.
Alan Chambers,Ipswich Dark Ale,Element Brewing Company
Justin Goodman,Harpoon Munich Dark,John Harvard's Brew House - Harvard Square
Jonathan Reeves,Tall Tale Pale Ale,John Harvard's Brew House - Harvard Square
Harold Hoffman,Samuel Adams Irish Red,John Harvard's Brew House - Harvard Square
Margaret Carson,Olde Buzzard Lager,Paper City Brewing Company
Estelle Frazier,Samuel Adams Triplebock 1995,John Harvard's Brew House - Harvard Square
Adelaide Fowler,Kenmore K̦lsch,Wachusetts Brewing Company
Francis Hampton,Workingman's Wheat,Boston Beer Company
Cora Graves,Lewmeister Oktoberfest,Wachusetts Brewing Company
Bruce Douglas,Samuel Adams Boston Ale,Wachusetts Brewing Company
Harold Newman,Samuel Adams White Ale,Boston Beer Works
Addie Sutton,Dark Element,Buzzards Bay Brewing Inc.
Clyde Spencer,Hercules Stong Ale,Commonwealth Brewing #1
Lida Dunn,Longshot American Pale Ale,Boston Beer Works
Kevin Romero,Bankers Gold,Boston Beer Works
Anthony James,Harpoon Ale,Commonwealth Brewing #1
Walter Flowers,Samuel Adams Imperial White,New Century Brewing Company
Sean Clarke,Massatucky Brown,Harpoon Brewery - Boston
Delia Martin,Samuel Adams Irish Red,John Harvard's Brew House - Framingham
Leona Howard,Harpoon Winter Warmer,New Century Brewing Company
Dennis Ray,Workingman's Wheat,Cambridge Brewing
Jordan Taylor,Samuel Adams Cream Stout,New Century Brewing Company
Augusta Matthews,UFO Raspberry Hefeweizen,Brewery at Martha's Vineyard
